archivo,duracion_total,audio_util,porcentaje_audio,num_frases,rms_mean,rms_std,rango_dinamico,clase
2_3_28_2026_GNPgrabacion_0.wav,30.0,25.36,84.53333333333333,6,0.15149562060832977,0.11899314075708389,0.6284712553024292,sospechoso
2_3_29_2026_GNPgrabacion_0.wav,30.0,25.456,84.85333333333334,6,0.15625359117984772,0.12054158002138138,0.6298550367355347,sospechoso
2_3_30_2026_GNPgrabacion_0.wav,30.0,25.456,84.85333333333334,6,0.1506270319223404,0.11761506646871567,0.6204313635826111,sospechoso
2_3_31_2026_GNPgrabacion_0.wav,30.0,25.344,84.48,6,0.15523234009742737,0.11987023800611496,0.6121717095375061,sospechoso
2_4_13_2026_BBVAgrabacion_0.wav,30.0,14.448,48.160000000000004,5,0.10695216059684753,0.04014577344059944,0.21069639921188354,gris
2_4_13_2026_Vidanta_grabacion_0.wav,30.0,5.888,19.62666666666667,1,0.0,0.0,0.0,gris
2_4_14_2026_BBVAgrabacion_0.wav,30.0,14.96,49.86666666666667,4,0.10615171492099762,0.04093164950609207,0.20317316055297852,gris
2_4_15_2026_BBVAgrabacion_0.wav,30.0,0.0,0.0,0,0.0,0.0,0.0,silencio_real
2_4_15_2026_BBVAgrabacion_1.wav,30.0,0.0,0.0,0,0.0,0.0,0.0,silencio_real
2_4_1_2026_GNPgrabacion_0.wav,30.0,25.456,84.85333333333334,6,0.15167658030986786,0.11890630424022675,0.6150656938552856,sospechoso
2_4_21_2026_Banamex_grabacion_0.wav,30.0,0.0,0.0,0,0.0,0.0,0.0,silencio_real
2_4_22_2026_BBVAgrabacion_0.wav,30.0,0.0,0.0,0,0.0,0.0,0.0,silencio_real
2_4_2_2026_GNPgrabacion_0.wav,30.0,25.456,84.85333333333334,6,0.15328331291675568,0.11927751451730728,0.6291910409927368,sospechoso
2_4_3_2026_GNPgrabacion_0.wav,30.0,25.232,84.10666666666667,6,0.1609983891248703,0.12463604658842087,0.6227063536643982,sospechoso
2_4_4_2026_GNPgrabacion_0.wav,30.0,25.488,84.96000000000001,6,0.1594351977109909,0.12305222451686859,0.6218953132629395,sospechoso
2_4_5_2026_GNPgrabacion_0.wav,30.0,25.472,84.90666666666668,6,0.15727153420448303,0.12162341177463531,0.6180087924003601,sospechoso
31_4_23_2026_BBVAgrabacion_0.wav,30.0,0.16,0.5333333333333333,1,0.0,0.0,0.0,vacio
